begdate,enddate,pressconf,scheduled,document,url
10/17/1945,10/17/1945,0,1,Record of Policy Actions (132 KB PDF),/monetarypolicy/files/fomcropa19451017.pdf
2/28/1946,2/28/1946,0,1,Historical Minutes (223 KB PDF),/monetarypolicy/files/FOMChistmin19460228.pdf
3/1/1946,3/1/1946,0,1,Record of Policy Actions (243 KB PDF),/monetarypolicy/files/fomcropa19460301.pdf
6/10/1946,6/10/1946,0,1,Record of Policy Actions (242 KB PDF),/monetarypolicy/files/fomcropa19460610.pdf
10/3/1946,10/3/1946,0,1,Record of Policy Actions (116 KB PDF),/monetarypolicy/files/fomcropa19461003.pdf
2/27/1947,2/28/1947,0,1,Historical Minutes (727 KB PDF),/monetarypolicy/files/FOMChistmin19470228.pdf
3/1/1947,3/1/1947,0,1,Record of Policy Actions (130 KB PDF),/monetarypolicy/files/fomcropa19470301.pdf
6/5/1947,6/6/1947,0,1,Record of Policy Actions (257 KB PDF),/monetarypolicy/files/fomcropa19470605.pdf
10/6/1947,10/7/1947,0,1,Record of Policy Actions (379 KB PDF),/monetarypolicy/files/fomcropa19471007.pdf
12/9/1947,12/9/1947,0,1,Record of Policy Actions (136 KB PDF),/monetarypolicy/files/fomcropa19471209.pdf
2/27/1948,2/27/1948,0,1,Historical Minutes (694 KB PDF),/monetarypolicy/files/FOMChistmin19480227.pdf
3/1/1948,3/1/1948,0,1,Record of Policy Actions (135 KB PDF),/monetarypolicy/files/fomcropa19480301.pdf
5/20/1948,5/20/1948,0,1,Record of Policy Actions (257 KB PDF),/monetarypolicy/files/fomcropa19480520.pdf
10/4/1948,10/4/1948,0,1,Record of Policy Actions (259 KB PDF),/monetarypolicy/files/fomcropa19481004.pdf
11/15/1948,11/15/1948,0,1,Historical Minutes (392 KB PDF),/monetarypolicy/files/FOMChistmin19481115.pdf
11/30/1948,11/30/1948,0,1,Record of Policy Actions (137 KB PDF),/monetarypolicy/files/fomcropa19481130.pdf
2/28/1949,2/28/1949,0,1,Historical Minutes (180 KB PDF),/monetarypolicy/files/FOMChistmin19490228.pdf
3/1/1949,3/1/1949,0,1,Record of Policy Actions (209 KB PDF),/monetarypolicy/files/fomcropa19490301.pdf
5/3/1949,5/3/1949,0,1,Record of Policy Actions (113 KB PDF),/monetarypolicy/files/fomcropa19490503.pdf
6/28/1949,6/28/1949,0,1,Record of Policy Actions (217 KB PDF),/monetarypolicy/files/fomcropa19490628.pdf
8/5/1949,8/5/1949,0,1,Record of Policy Actions (220 KB PDF),/monetarypolicy/files/fomcropa19490805.pdf
12/13/1949,12/13/1949,0,1,Record of Policy Actions (208 KB PDF),/monetarypolicy/files/fomcropa19491213.pdf
2/28/1950,2/28/1950,0,1,Historical Minutes (290 KB PDF),/monetarypolicy/files/FOMChistmin19500228.pdf
3/1/1950,3/1/1950,0,1,Record of Policy Actions (201 KB PDF),/monetarypolicy/files/fomcropa19500301.pdf
6/13/1950,6/14/1950,0,1,Record of Policy Actions (109 KB PDF),/monetarypolicy/files/fomcropa19500614.pdf
8/18/1950,8/18/1950,0,1,Record of Policy Actions (399 KB PDF),/monetarypolicy/files/fomcropa19500818.pdf
9/28/1950,9/28/1950,0,1,Record of Policy Actions (200 KB PDF),/monetarypolicy/files/fomcropa19500928.pdf
10/11/1950,10/11/1950,0,1,Record of Policy Actions (208 KB PDF),/monetarypolicy/files/fomcropa19501011.pdf
10/30/1950,10/30/1950,0,1,Record of Policy Actions (111 KB PDF),/monetarypolicy/files/fomcropa19501030.pdf
11/27/1950,11/27/1950,0,1,Record of Policy Actions (180 KB PDF),/monetarypolicy/files/fomcropa19501127.pdf
1/31/1951,1/31/1951,0,1,Record of Policy Actions (200 KB PDF),/monetarypolicy/files/fomcropa19510131.pdf
2/6/1951,2/8/1951,0,1,Record of Policy Actions (225 KB PDF),/monetarypolicy/files/fomcropa19510208.pdf
3/1/1951,3/2/1951,0,1,Record of Policy Actions (320 KB PDF),/monetarypolicy/files/fomcropa19510302.pdf
3/8/1951,3/8/1951,0,1,Record of Policy Actions (111 KB PDF),/monetarypolicy/files/fomcropa19510308.pdf
5/17/1951,5/17/1951,0,1,Record of Policy Actions (211 KB PDF),/monetarypolicy/files/fomcropa19510517.pdf
10/4/1951,10/4/1951,0,1,Record of Policy Actions (295 KB PDF),/monetarypolicy/files/fomcropa19511004.pdf
11/14/1951,11/14/1951,0,1,Record of Policy Actions (87 KB PDF),/monetarypolicy/files/fomcropa19511114.pdf
2/29/1952,2/29/1952,0,1,Historical Minutes (502 KB PDF),/monetarypolicy/files/FOMChistmin19520229.pdf
3/1/1952,3/1/1952,0,1,Record of Policy Actions (229 KB PDF),/monetarypolicy/files/fomcropa19520301.pdf
6/19/1952,6/19/1952,0,1,Record of Policy Actions (236 KB PDF),/monetarypolicy/files/fomcropa19520619.pdf
9/25/1952,9/25/1952,0,1,Record of Policy Actions (344 KB PDF),/monetarypolicy/files/fomcropa19520925.pdf
12/8/1952,12/8/1952,0,1,Record of Policy Actions (122 KB PDF),/monetarypolicy/files/fomcropa19521208.pdf
3/4/1953,3/5/1953,0,1,Record of Policy Actions (462 KB PDF),/monetarypolicy/files/fomcropa19530305.pdf
6/11/1953,6/11/1953,0,1,Record of Policy Actions (359 KB PDF),/monetarypolicy/files/fomcropa19530611.pdf
9/24/1953,9/24/1953,0,1,Record of Policy Actions (352 KB PDF),/monetarypolicy/files/fomcropa19530924.pdf
12/15/1953,12/15/1953,0,1,Record of Policy Actions (305 KB PDF),/monetarypolicy/files/fomcropa19531215.pdf
3/3/1954,3/3/1954,0,1,Record of Policy Actions (217 KB PDF),/monetarypolicy/files/fomcropa19540303.pdf
6/23/1954,6/23/1954,0,1,Record of Policy Actions (220 KB PDF),/monetarypolicy/files/fomcropa19540623.pdf
9/22/1954,9/22/1954,0,1,Record of Policy Actions (115 KB PDF),/monetarypolicy/files/fomcropa19540922.pdf
12/7/1954,12/7/1954,0,1,Record of Policy Actions (205 KB PDF),/monetarypolicy/files/fomcropa19541207.pdf
1/11/1955,1/11/1955,0,1,Record of Policy Actions (220 KB PDF),/monetarypolicy/files/fomcropa19550111.pdf
3/2/1955,3/2/1955,0,1,Record of Policy Actions (343 KB PDF),/monetarypolicy/files/fomcropa19550302.pdf
5/10/1955,5/10/1955,0,1,Record of Policy Actions (238 KB PDF),/monetarypolicy/files/fomcropa19550510.pdf
6/22/1955,6/22/1955,0,1,Record of Policy Actions (237 KB PDF),/monetarypolicy/files/fomcropa19550622.pdf
7/12/1955,7/12/1955,0,1,Record of Policy Actions (237 KB PDF),/monetarypolicy/files/fomcropa19550712.pdf
8/2/1955,8/2/1955,0,1,Record of Policy Actions (231 KB PDF),/monetarypolicy/files/fomcropa19550802.pdf
8/23/1955,8/23/1955,0,1,Record of Policy Actions (232 KB PDF),/monetarypolicy/files/fomcropa19550823.pdf
9/14/1955,9/14/1955,0,1,Record of Policy Actions (129 KB PDF),/monetarypolicy/files/fomcropa19550914.pdf
9/26/1955,9/26/1955,0,0,Record of Policy Actions (235 KB PDF),/monetarypolicy/files/fomcropa19550926.pdf
10/4/1955,10/4/1955,0,1,Record of Policy Actions (129 KB PDF),/monetarypolicy/files/fomcropa19551004.pdf
10/25/1955,10/25/1955,0,1,Record of Policy Actions (236 KB PDF),/monetarypolicy/files/fomcropa19551025.pdf
11/16/1955,11/16/1955,0,1,Record of Policy Actions (130 KB PDF),/monetarypolicy/files/fomcropa19551116.pdf
11/30/1955,11/30/1955,0,0,Record of Policy Actions (240 KB PDF),/monetarypolicy/files/fomcropa19551130.pdf
12/8/1955,12/8/1955,0,0,Historical Minutes (297 KB PDF),/monetarypolicy/files/FOMChistmin19551208.pdf
12/13/1955,12/13/1955,0,1,Record of Policy Actions (132 KB PDF),/monetarypolicy/files/fomcropa19551213.pdf
1/10/1956,1/10/1956,0,1,Record of Policy Actions (202 KB PDF),/monetarypolicy/files/fomcropa19560110.pdf
1/24/1956,1/24/1956,0,1,Record of Policy Actions (297 KB PDF),/monetarypolicy/files/fomcropa19560124.pdf
2/15/1956,2/15/1956,0,1,Record of Policy Actions (202 KB PDF),/monetarypolicy/files/fomcropa19560215.pdf
3/6/1956,3/6/1956,0,1,Record of Policy Actions (388 KB PDF),/monetarypolicy/files/fomcropa19560306.pdf
3/27/1956,3/27/1956,0,1,Record of Policy Actions (294 KB PDF),/monetarypolicy/files/fomcropa19560327.pdf
4/17/1956,4/17/1956,0,1,Record of Policy Actions (307 KB PDF),/monetarypolicy/files/fomcropa19560417.pdf
4/18/1956,4/18/1956,0,1,"Historical Minutes: see April 17, 1956 Minutes",NA
5/9/1956,5/9/1956,0,1,Record of Policy Actions (208 KB PDF),/monetarypolicy/files/fomcropa19560509.pdf
5/23/1956,5/23/1956,0,1,Record of Policy Actions (311 KB PDF),/monetarypolicy/files/fomcropa19560523.pdf
6/5/1956,6/5/1956,0,1,Record of Policy Actions (306 KB PDF),/monetarypolicy/files/fomcropa19560605.pdf
6/26/1956,6/26/1956,0,1,Record of Policy Actions (203 KB PDF),/monetarypolicy/files/fomcropa19560626.pdf
7/17/1956,7/17/1956,0,1,Record of Policy Actions (304 KB PDF),/monetarypolicy/files/fomcropa19560717.pdf
8/7/1956,8/7/1956,0,1,Record of Policy Actions (306 KB PDF),/monetarypolicy/files/fomcropa19560807.pdf
8/21/1956,8/21/1956,0,1,Record of Policy Actions (205 KB PDF),/monetarypolicy/files/fomcropa19560821.pdf
9/11/1956,9/11/1956,0,1,Record of Policy Actions (305 KB PDF),/monetarypolicy/files/fomcropa19560911.pdf
9/25/1956,9/25/1956,0,1,Record of Policy Actions (310 KB PDF),/monetarypolicy/files/fomcropa19560925.pdf
10/16/1956,10/16/1956,0,1,Record of Policy Actions (308 KB PDF),/monetarypolicy/files/fomcropa19561016.pdf
11/13/1956,11/13/1956,0,1,Record of Policy Actions (206 KB PDF),/monetarypolicy/files/fomcropa19561113.pdf
11/27/1956,11/27/1956,0,1,Record of Policy Actions (304 KB PDF),/monetarypolicy/files/fomcropa19561127.pdf
12/10/1956,12/10/1956,0,1,Record of Policy Actions (312 KB PDF),/monetarypolicy/files/fomcropa19561210.pdf
1/8/1957,1/8/1957,0,1,Record of Policy Actions (288 KB PDF),/monetarypolicy/files/fomcropa19570108.pdf
1/28/1957,1/28/1957,0,1,Record of Policy Actions (279 KB PDF),/monetarypolicy/files/fomcropa19570128.pdf
2/18/1957,2/18/1957,0,1,Record of Policy Actions (281 KB PDF),/monetarypolicy/files/fomcropa19570218.pdf
3/5/1957,3/5/1957,0,1,Record of Policy Actions (284 KB PDF),/monetarypolicy/files/fomcropa19570305.pdf
3/26/1957,3/26/1957,0,1,Record of Policy Actions (281 KB PDF),/monetarypolicy/files/fomcropa19570326.pdf
4/16/1957,4/16/1957,0,1,Record of Policy Actions (182 KB PDF),/monetarypolicy/files/fomcropa19570416.pdf
4/24/1957,4/24/1957,0,0,Historical Minutes (692 KB PDF),/monetarypolicy/files/fomchistmin19570424.pdf
